name;healthCardAndPinPhone;healthCardAndPinMail;healthCardAndPinUrl;pinUrl
BKK Scheufelen;;;https://www.bkk-scheufelen.de/e-rezept;https://www.bkk-scheufelen.de/e-rezept
BKK Schwarzwald-BaarHeuberg;;;;
BKK STADT AUGSBURG;00498213243231;;;
BKK Technoform;;;https://www.bkk-technoform.de/index.php?p=page&ID=11;
BKK Textilgruppe Hof;00498002558440;;;
BKK Verkehrsbau Union (VBU);;info@bkk-vbu.de;;
BKK VDN;0049230498260;;;
BKK VerbundPlus;;;https://www.bkk-verbundplus.de/ihre-mitgliedschaft/elektronische-gesundheitskarte/;https://www.bkk-verbundplus.de/nfc-karte-pin
BKK Voralb;004970229324639;beitraege@bkk-voralb.de;;
BKK Werra-Meissner;00490565174510;info@bkk-wm.de;;
BKK Wirtschaft & Finanzen;;;https://www.bkk-wf.de/e-rezept/;
BKK Würth;0049794091900;info@bkk-wuerth.de;;
BKK ZF & Partner;00493381306652512;;;
BKK_DürkoppAdler;00495215578470;eRezept@bkk-da.de;;
BKK24;;;https://www.bkk24.de/e-rezept;https://bkk24.de/e-rezept
BMW BKK;;;https://www.bmwbkk.de/egk;https://www.bmwbkk.de/egk-pin-puk
Bosch BKK;;info@bosch-bkk.de;https://meine.bosch-bkk.de/bitgo_gs/de/oeffentlich/login/login.xhtml;https://meine.bosch-bkk.de/bitgo_gs/de/oeffentlich/login/login.xhtml
Continentale BKK;00498006262626;kundenservice@continentale-bkk.de;https://www.continentale-bkk.de/kontakt/kontaktformular/;https://www.continentale-bkk.de/kontakt/kontaktformular/
Daimler BKK;;;https://www.daimler-bkk.com/service/erezept;https://www.daimler-bkk.com/service/erezept
DAK-Gesundheit;;;;
Debeka BKK;;;;https://www.debeka-bkk.de/erezept/
energie - Betriebskrankenkasse;;;;
Ernst & Young BKK;00495661707670;versicherung@ey-bkk.de;;
Heimat Krankenkasse;;;https://www.heimat-krankenkasse.de/egk-anfordern;https://www.heimat-krankenkasse.de/egk-pin-anfordern
HEK - Hanseatische Krankenkasse;00498000213213;;;https://www.hek.de/egk
Handelskrankenkasse (hkk);;;https://www.hkk.de/versicherung-und-tarife/allgemeine-infos/erezept-app;https://www.hkk.de/versicherung-und-tarife/allgemeine-infos/erezept-app
IKK - Die Innovationskasse;;;https://www.die-ik.de/e-rezept;
IKK Brandenburg und Berlin;;;https://www.ikkbb.de/erezept/auth-egk;
IKK classic;00498004551111;;;
IKK gesund plus;;;;
IKK Südwest;00498000119119;;https://www.ikk-suedwest.de/service/persoenlicher-kundenberater/;https://www.ikk-suedwest.de/service/persoenlicher-kundenberater/
Kaufmännische Krankenkasse - KKH;00498005548640554;;;
KNAPPSCHAFT;00498000200501;;;
Koenig & Bauer BKK;;erezept@koenig-bauer-bkk.de;;
Krones BKK;;;;
Merck BKK;00496151722256;;;
mhplus Betriebskrankenkasse;;;https://www.mhplus-krankenkasse.de/privatkunden/unser-service/services-fuer-mitglieder/mhplus-gesundheitskarte;https://iam.mhplusdirekt.de/pinaas/pin-request-with-egk
Mobil Krankenkasse;00498002550800;;https://mobil-krankenkasse.de/unser-service/e-rezept.html;
Novitas BKK;00498006566300;gesundheitskarte@novitas-bkk.de;https://www.novitas-bkk.de/egk;https://www.novitas-bkk.de/egk
pronova BKK;0049621533911000;;https://www.pronovabkk.de/leistungen/elektronische-gesundheitskarte;https://meine.pronovabkk.de/
R+V Betriebskrankenkasse;;;https://www.ruv-bkk.de/leistungen/alle-leistungen-im-ueberblick/leistungen-a-z/e/erezept/;https://www.ruv-bkk.de/leistungen/alle-leistungen-im-ueberblick/leistungen-a-z/e/erezept/
Salus BKK;00498002213222;egk@salus-bkk.de;https://www.salus-bkk.de/service-formulare/infos-zur-mitgliedschaft/meine-gesundheitskarte/elektronische-gesundheitskarte/;https://www.salus-bkk.de/service-formulare/infos-zur-mitgliedschaft/meine-gesundheitskarte/elektronische-gesundheitskarte/
SIEMAG BKK;00492733292929;info@siemagbkk.de;;
Siemens-Betriebskrankenkasse (SBK);;;https://meine.sbk.org/pin_gesundheitskarte;
SECURVITA BKK;00494033477;egk@securvita-bkk.de;;
SKD BKK;;;https://www.skd-bkk.de/leistungen/26-elektronische-gesundheitskarte-egk/;
Südzucker BKK;00496213285845;;;
Sozialversicherung für Landwirtschaft, Forsten und Gartenbau (SVLFG);00495617850;;https://portal.svlfg.de/svlfg-apps/gesundheitskarte;
Techniker Krankenkasse;;;https://www.tk.de/techniker/2113848;https://www.tk.de/techniker/2113852
TUI BKK;00495341405800;service@tui-bkk.de;;
VIACTIV BKK;00498002221211;service@viactiv.de;;
vivida bkk;0049800375537555;Info@vividabkk.de;https://www.vividabkk.de/de/service/e-rezept-info;https://www.vividabkk.de/de/service/e-rezept-info
Wieland BKK;;;https://www.wieland-bkk.de/service/unsere-digitalen-moeglichkeiten/e-rezept;https://www.wieland-bkk.de/service/unsere-digitalen-moeglichkeiten/e-rezept
WMF Betriebskrankenkasse;;service@wmf-bkk.de;;
