Kassenname;eGK und PIN Rufnummer;eGK und PIN eMail;eGK und PIN URL;PIN Rufnummer;PIN eMail;PIN URL
BMW BKK;;;https://www.bmwbkk.de/egk;;;https://www.bmwbkk.de/egk-pin-puk
Bosch BKK;;info@bosch-bkk.de;https://meine.bosch-bkk.de/bitgo_gs/de/oeffentlich/login/login.xhtml;;;https://meine.bosch-bkk.de/bitgo_gs/de/oeffentlich/login/login.xhtml
Continentale BKK;00498006262626;kundenservice@continentale-bkk.de;https://www.continentale-bkk.de/kontakt/kontaktformular/;;;https://www.continentale-bkk.de/kontakt/kontaktformular/
Daimler BKK;;;https://www.daimler-bkk.com/service/erezept;;;https://www.daimler-bkk.com/service/erezept
Debeka BKK;;;;;;https://www.debeka-bkk.de/erezept/
EY BKK;00495661707670;versicherung@ey-bkk.de;;;;
Heimat Krankenkasse;;;https://www.heimat-krankenkasse.de/egk-anfordern;;;https://www.heimat-krankenkasse.de/egk-pin-anfordern
HEK - Hanseatische Krankenkasse;00498000213213;;;;;https://www.hek.de/egk
hkk Krankenkasse;;;https://www.hkk.de/versicherung-und-tarife/allgemeine-infos/erezept-app;;;https://www.hkk.de/versicherung-und-tarife/allgemeine-infos/erezept-app
IKK Brandenburg und Berlin;;;https://www.ikkbb.de/erezept/auth-nfc-egk-pin;;;https://www.ikkbb.de/erezept/auth-pin
IKK classic;00498004551111;;;;;
IKK Südwest;00498000119119;;https://www.ikk-suedwest.de/service/persoenlicher-kundenberater/;;;https://www.ikk-suedwest.de/service/persoenlicher-kundenberater/
KKH Kaufmännische Krankenkasse;00498005548640554;;;;;
Knappschaft;00498000 200 501;;;;;
Koenig & Bauer BKK;;erezept@koenig-bauer-bkk.de;;;;
mobil Krankenkasse;0049800 255 0800;;https://mobil-krankenkasse.de/unser-service/e-rezept.html;;;
Novitas BKK;00498006566300;gesundheitskarte@novitas-bkk.de;https://www.novitas-bkk.de/egk;;;https://www.novitas-bkk.de/egk
pronova BKK;0049621533911000;;https://www.pronovabkk.de/leistungen/elektronische-gesundheitskarte;;;https://meine.pronovabkk.de/
R+V Betriebskrankenkasse;;;https://www.ruv-bkk.de/leistungen/alle-leistungen-im-ueberblick/leistungen-a-z/e/erezept/;;;https://www.ruv-bkk.de/leistungen/alle-leistungen-im-ueberblick/leistungen-a-z/e/erezept/
SBK Siemens-Betriebskrankenkasse;;;https://meine.sbk.org/pin_gesundheitskarte;;;https://meine.sbk.org/pin_gesundheitskarte
SECURVITA BKK;00494033477;egk@secuvita-bkk.de;;;;
Südzucker BKK;00496213285845;;;;;
SVLFG;00495617850;;;;;
Techniker Krankenkasse;;;https://www.tk.de/techniker/2113848;;;https://www.tk.de/techniker/2113852
TUI BKK;00495341405800;service@tui-bkk.de;;;;
VIACTIV BKK;00498002221211;service@viactiv.de;;;;
vivida bkk;0049800375537555;Info@vividabkk.de;https://www.vividabkk.de/de/service/e-rezept-info;;;https://www.vividabkk.de/de/service/e-rezept-info
Wieland BKK;;;https://www.wieland-bkk.de/service/unsere-digitalen-moeglichkeiten/e-rezept;;;https://www.wieland-bkk.de/service/unsere-digitalen-moeglichkeiten/e-rezept
WMF BKK;;service@wmf-bkk.de;;;;
mhplus;;;https://www.mhplus-krankenkasse.de/privatkunden/unser-service/services-fuer-mitglieder/mhplus-gesundheitskarte;;;https://iam.mhplusdirekt.de/pinaas/pin-request-with-egk
Salus BKK;00498002213222;egk@salus-bkk.de;https://www.salus-bkk.de/service-formulare/infos-zur-mitgliedschaft/meine-gesundheitskarte/elektronische-gesundheitskarte/;;;https://www.salus-bkk.de/service-formulare/infos-zur-mitgliedschaft/meine-gesundheitskarte/elektronische-gesundheitskarte/
